Date,Region,Product,Units Sold,Unit Price,Total Revenue
2023-01-01,East,Laptop,10,50000,500000
2023-01-02,West,Tablet,15,20000,300000
2023-01-03,North,Smartphone,8,30000,240000
2023-01-04,South,Monitor,20,15000,300000
2023-01-05,East,Laptop,10,50000,500000
2023-01-06,West,Tablet,15,20000,300000
2023-01-07,North,Smartphone,8,30000,240000
2023-01-08,South,Monitor,20,15000,300000
2023-01-09,East,Laptop,10,50000,500000
2023-01-10,West,Tablet,15,20000,300000
2023-01-11,North,Smartphone,8,30000,240000
2023-01-12,South,Monitor,20,15000,300000
2023-01-13,East,Laptop,10,50000,500000
2023-01-14,West,Tablet,15,20000,300000
2023-01-15,North,Smartphone,8,30000,240000
2023-01-16,South,Monitor,20,15000,300000
2023-01-17,East,Laptop,10,50000,500000
2023-01-18,West,Tablet,15,20000,300000
2023-01-19,North,Smartphone,8,30000,240000
2023-01-20,South,Monitor,20,15000,300000
2023-01-21,East,Laptop,10,50000,500000
2023-01-22,West,Tablet,15,20000,300000
2023-01-23,North,Smartphone,8,30000,240000
2023-01-24,South,Monitor,20,15000,300000
2023-01-25,East,Laptop,10,50000,500000
2023-01-26,West,Tablet,15,20000,300000
2023-01-27,North,Smartphone,8,30000,240000
2023-01-28,South,Monitor,20,15000,300000
2023-01-29,East,Laptop,10,50000,500000
2023-01-30,West,Tablet,15,20000,300000
2023-01-31,North,Smartphone,8,30000,240000
2023-02-01,South,Monitor,20,15000,300000
2023-02-02,East,Laptop,10,50000,500000
2023-02-03,West,Tablet,15,20000,300000
2023-02-04,North,Smartphone,8,30000,240000
2023-02-05,South,Monitor,20,15000,300000
2023-02-06,East,Laptop,10,50000,500000
2023-02-07,West,Tablet,15,20000,300000
2023-02-08,North,Smartphone,8,30000,240000
2023-02-09,South,Monitor,20,15000,300000
2023-02-10,East,Laptop,10,50000,500000
2023-02-11,West,Tablet,15,20000,300000
2023-02-12,North,Smartphone,8,30000,240000
2023-02-13,South,Monitor,20,15000,300000
2023-02-14,East,Laptop,10,50000,500000
2023-02-15,West,Tablet,15,20000,300000
2023-02-16,North,Smartphone,8,30000,240000
2023-02-17,South,Monitor,20,15000,300000
2023-02-18,East,Laptop,10,50000,500000
2023-02-19,West,Tablet,15,20000,300000
2023-02-20,North,Smartphone,8,30000,240000
2023-02-21,South,Monitor,20,15000,300000
2023-02-22,East,Laptop,10,50000,500000
2023-02-23,West,Tablet,15,20000,300000
2023-02-24,North,Smartphone,8,30000,240000
2023-02-25,South,Monitor,20,15000,300000
2023-02-26,East,Laptop,10,50000,500000
2023-02-27,West,Tablet,15,20000,300000
2023-02-28,North,Smartphone,8,30000,240000
2023-03-01,South,Monitor,20,15000,300000
2023-03-02,East,Laptop,10,50000,500000
2023-03-03,West,Tablet,15,20000,300000
2023-03-04,North,Smartphone,8,30000,240000
2023-03-05,South,Monitor,20,15000,300000
2023-03-06,East,Laptop,10,50000,500000
2023-03-07,West,Tablet,15,20000,300000
2023-03-08,North,Smartphone,8,30000,240000
2023-03-09,South,Monitor,20,15000,300000
2023-03-10,East,Laptop,10,50000,500000
2023-03-11,West,Tablet,15,20000,300000
2023-03-12,North,Smartphone,8,30000,240000
2023-03-13,South,Monitor,20,15000,300000
2023-03-14,East,Laptop,10,50000,500000
2023-03-15,West,Tablet,15,20000,300000
2023-03-16,North,Smartphone,8,30000,240000
2023-03-17,South,Monitor,20,15000,300000
2023-03-18,East,Laptop,10,50000,500000
2023-03-19,West,Tablet,15,20000,300000
2023-03-20,North,Smartphone,8,30000,240000
2023-03-21,South,Monitor,20,15000,300000
2023-03-22,East,Laptop,10,50000,500000
2023-03-23,West,Tablet,15,20000,300000
2023-03-24,North,Smartphone,8,30000,240000
2023-03-25,South,Monitor,20,15000,300000
2023-03-26,East,Laptop,10,50000,500000
2023-03-27,West,Tablet,15,20000,300000
2023-03-28,North,Smartphone,8,30000,240000
2023-03-29,South,Monitor,20,15000,300000
2023-03-30,East,Laptop,10,50000,500000
2023-03-31,West,Tablet,15,20000,300000
2023-04-01,North,Smartphone,8,30000,240000
2023-04-02,South,Monitor,20,15000,300000
2023-04-03,East,Laptop,10,50000,500000
2023-04-04,West,Tablet,15,20000,300000
2023-04-05,North,Smartphone,8,30000,240000
2023-04-06,South,Monitor,20,15000,300000
2023-04-07,East,Laptop,10,50000,500000
2023-04-08,West,Tablet,15,20000,300000
2023-04-09,North,Smartphone,8,30000,240000
2023-04-10,South,Monitor,20,15000,300000
